place_id,place_name,place_region1,place_region2,place_region3,issued_place,location_keyword,feeling,in_out
1,백마강,충청남도,Buyeo,부여읍 나루터로 72,1,강,보통,out
2,성흥산성,충청남도,Buyeo,성흥로 97번길 167,1,역사 산,보통,out
3,미암사,충청남도,Buyeo,내산면 성충로미암길 128,1,종교 산 힐링,보통,out
4,부소산성,충청남도,Buyeo,부여읍 성왕로 247-9,1,역사 산,보통,out
5,백제문화단지,충청남도,Buyeo,규암면 백제문로 455,1,역사 체험,좋음,in out
6,궁남지,충청남도,Buyeo,부여읍 동남리,1,역사 호수 힐링,좋음,out
7,오천항,충청남도,Boryeong,오천면 오천해안로 782-5,1,바다,나쁨,out
8,오서산 자연 휴양림,충청남도,Boryeong,청라면 오서산길 524,1,산 힐링,좋음,out
10,고대도,충청남도,Boryeong,오천면 고대도1길 41-6,1,바다 체험 힐링,보통,out
12,청보리밭 폐목장,충청남도,Boryeong,천북면 천광로 73-2,1,사진 산책 힐링,좋음,out
14,칠갑산 도립 공원,충청남도,Cheongyang,대치면 장곡길 241,1,산 힐링,보통,out
15,청양 알프스 마을,충청남도,Cheongyang,정산면 천장호길 223-35,1,문화 산 호수 체험,보통,in out
16,홍천 동키 마을,강원도,Hongcheon,화천면 구룡령로 170,1,문화 체험,보통,in out
17,홍천 은행 나무 숲,강원도,Hongcheon,내면 달둔길 9-25,1,힐링 산책 사진,나쁨,out
18,홍천 중앙시장,강원도,Hongcheon,홍천읍 꽃뫼로 112,1,유명 시장 음식,좋음,in
20,척야산 문화 수목원,강원도,Hongcheon,내촌면 동창로 282,1,산 산책 힐링,보통,out
21,안흥찐빵 모락모락마을,강원도,Hoengseong,안흥면 주천강로 1868,1,음식 문화,보통,in out
22,풍수원 성당,강원도,Hoengseong,서원면 경강로유현1길 30,1,종교 사진,보통,in
23,청태산 자연휴양림,강원도,Hoengseong,둔내면 청태산로 610,1,산책 힐링 산,나쁨,out
24,태기산,강원도,Hoengseong,둔내면 화동리 태기산,1,산,좋음,out
25,횡성 호수길,강원도,Hoengseong,갑천면 구방리 산164,1,호수 산책,보통,out
26,영월 중앙시장,강원도,Yeongwol,영월읍 중앙시장길 7,0,시장 음식,좋음,in
27,선돌,강원도,Yeongwol,영월읍 방절리 769-4,0,사진 강 산,좋음,out
